p.accession,p.type,target.LPGF,decoy.LPGF
NP_006512.2,master,9.841177918542193,2.3954796145447563
NP_057512.1,master,10.114119824148585,1.913054685105988
NP_055701.1,master,inf,2.813516927141844
NP_055991.1,master,inf,1.131481919583992
NP_055551.1,master,inf,0.7706691899255506
NP_054895.1,master,7.415316971762714,0.06821905728576458
NP_054890.1,master,inf,0.07778462190769035
NP_055162.1,master,6.09838325809489,0.22934995829840435
NP_036370.2,master,inf,0.1685943078237166
NP_055317.1,master,inf,0.2301119826582477
NP_055051.1,master,inf,1.1217802478322303
NP_037386.1,master,inf,0.26173359548096947
NP_036537.1,master,inf,0.3529908650542827
NP_036324.1,master,inf,0.11552682097063145
NP_036230.1,master,inf,1.1563088071260932
NP_009330.1,master,inf,0.10806342157686688
NP_009186.1,master,inf,0.010417945541026307
NP_009143.1,master,inf,0.16507675843746134
NP_008975.1,master,inf,0.019477562021019038
NP_008982.1,master,inf,0.6042320448047258
NP_006817.1,master,inf,0.004483373580380185
NP_006776.1,master,11.36553423913866,0.06650843542499617
NP_006808.1,master,inf,1.734701759412765
NP_001966.1,master,inf,0.41600817530089984
NP_006550.1,master,12.369129040682502,0.27817072954744865
NP_006326.1,master,8.897112712987846,0.07273773431865155
NP_006446.1,master,10.934560136648305,0.0850516530877252
NP_006138.1,master,inf,0.04924564134452476
NP_005966.1,master,inf,0.18359820470021063
NP_005893.1,master,9.832042970912262,0.1478301250807718
NP_006092.1,master,inf,0.1962528817711483
NP_006089.1,master,inf,0.18401940764583613
NP_005753.1,master,inf,0.07432937016996231
NP_005612.1,master,inf,0.4881820405098892
NP_005769.1,master,inf,1.5243474445154073
NP_005737.1,master,inf,0.3253469266537638
NP_005564.1,master,inf,0.10350584628247825
NP_005515.1,master,inf,0.1928748463507674
NP_005397.1,master,inf,0.0784110243475813
NP_005391.1,master,inf,0.06591078670574567
NP_005353.1,master,10.12930649322941,0.5863323691837914
NP_005243.1,master,inf,0.7384638356277919
NP_005142.1,master,inf,0.1420769920710937
NP_005092.1,master,inf,1.1636374865981904
NP_004949.1,master,inf,-0.1854224836712258
NP_004926.1,master,12.345529220260916,0.8397396216178955
NP_004896.1,master,inf,0.5142784996261465
NP_002219.1,master,11.916367131822286,0.23445118899896908
NP_004624.1,master,7.337031489472347,0.809002019994586
NP_004902.1,master,inf,1.1235127039835855
NP_004055.1,master,inf,0.1283620757051614
NP_004330.1,master,inf,0.0028820262644880046
